Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Cost per item,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
ac-milan-2025-26-home-shirt,AC Milan 2025/26 Home Shirt,"<p>The AC Milan 2025/26 home shirt. Available in fan and player versions, sizes S to 4XL.</p><p>Name and number printed to order (+₪39), adding two days to dispatch. Delivery is 12 to 25 days, tracked.</p>",Previous Season,Club Jersey,"Previous Season, 2025/26, Home, AC Milan, Serie A, Football, Soccer, Jersey",FALSE,Size,S,Version,Fan,AC-MILAN-2025-26-HOME-SHIRT-S-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,https://raw.githubusercontent.com/OmarHawari2/kitverse-images/main/images/256e382f.jpg,1,AC Milan 2025/26 Home Shirt,AC Milan 2025/26 Home Shirt,"Shop the AC Milan 2025/26 Home Shirt. Fan and player versions, sizes S-4XL, name and number printed to order.",draft
ac-milan-2025-26-home-shirt,,,,,,,Size,S,Version,Player,AC-MILAN-2025-26-HOME-SHIRT-S-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,M,Version,Fan,AC-MILAN-2025-26-HOME-SHIRT-M-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,M,Version,Player,AC-MILAN-2025-26-HOME-SHIRT-M-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,L,Version,Fan,AC-MILAN-2025-26-HOME-SHIRT-L-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,L,Version,Player,AC-MILAN-2025-26-HOME-SHIRT-L-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,XL,Version,Fan,AC-MILAN-2025-26-HOME-SHIRT-XL-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,XL,Version,Player,AC-MILAN-2025-26-HOME-SHIRT-XL-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,XXL,Version,Fan,AC-MILAN-2025-26-HOME-SHIRT-XXL-FAN,200,,continue,manual,129.00,169.00,66.66,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,XXL,Version,Player,AC-MILAN-2025-26-HOME-SHIRT-XXL-PV,200,,continue,manual,169.00,219.00,72.72,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,3XL,Version,Fan,AC-MILAN-2025-26-HOME-SHIRT-3XL-FAN,200,,continue,manual,144.00,184.00,72.72,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,3XL,Version,Player,AC-MILAN-2025-26-HOME-SHIRT-3XL-PV,200,,continue,manual,184.00,234.00,78.78,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,4XL,Version,Fan,AC-MILAN-2025-26-HOME-SHIRT-4XL-FAN,200,,continue,manual,144.00,184.00,72.72,TRUE,TRUE,,,,,,
ac-milan-2025-26-home-shirt,,,,,,,Size,4XL,Version,Player,AC-MILAN-2025-26-HOME-SHIRT-4XL-PV,200,,continue,manual,184.00,234.00,78.78,TRUE,TRUE,,,,,,
